tipo de material,codigo,nombre,pkg
SELLO,JFC11DC151R0,F310400,5000
SELLO,JFC22INJ01GR,60993928,1000
SELLO,JFC23DC151GR,F410400,5000
SELLO,JFC23DCS21R0,60994023,10000
SELLO,JFC34INJ01Y0,60993934,25000
SELLO,JFC35DC281R0,F610400,5000
SELLO,JFC45DC151Y0,F599700,5000
SELLO,JJS12SAB01RB,A03WS-SAB-N,1000
SELLO,JJS22SQXF000,SQXF-02-1A,1
SELLO,JJS22SQZF000,SQZF-02-1A,1500
SELLO,JKT02BH002R0,683470,1000
SELLO,JKT1102501L0,685387,1000
SELLO,JKT1104WP1L0,682620,1000
SELLO,JKT11C0251G1,685516,1000
SELLO,JKT11SWP01G0,680448,1000
SELLO,JKT12050W1R0,680713,1000
SELLO,JKT12090W1R0,680952,1000
SELLO,JKT12092W1L0,681114,1000
SELLO,JKT12093W1L0,683894,1000
SELLO,JKT12187W1R0,SEAL 187(SS)(R) KET,200
SELLO,JKT1258W01G0,680522,1000
SELLO,JKT12N0601R0,685390,1000
SELLO,JKT13187W1GR,681370,1000
SELLO,JKT2202501R0,685388,1000
SELLO,JKT22C0251R0,685517,1000
SELLO,JKT22RH002BR,683292,1000
SELLO,JKT2304WP1R0,682621,1000
SELLO,JKT2328001R0,685247,1000
SELLO,JKT2358W01R0,MG680470,1000
SELLO,JKT23BULB1B0,682027,1000
SELLO,JKT23BULB1B1,682028,1000
SELLO,JKT23SWP01B0,680449,1000
SELLO,JKT2458X01B0,680524,1000
SELLO,JKT34090W1B0,680604,1000
SELLO,JKT34092W1R0,681115,1000
SELLO,JKT34092W1R1,681115N,1000
SELLO,JKT34093W1R0,683895,1000
SELLO,JKT34SWP01OR,680450,4000
SELLO,JKT45187W1R0,SEAL 187(1.25-2.0)(B)KET,200
SELLO,JKT4528001L0,685248,1000
SELLO,JKT4558X01L0,680728,1000
SELLO,JKT55092W1G0,681116,1000
SELLO,JKT5628001B0,685259-5,1000
SELLO,JKT5658X01R0,680601,1000
SELLO,JKT7831221B0,680954,1000
SELLO,JKT78375W1R0,MG683802-1,1000
SELLO,JKU11TWP01BR,EU020-01050,1000
SELLO,JKU12060W1R0,RS300-01000,1000
SELLO,JKU12AWP01BR,EB010-01050,1000
SELLO,JKU12MWP01LG,RS220-01100,1000
SELLO,JKU13NWP01OR,EM010-00100,500
SELLO,JKU13RBL01B0,BL070-00020,1000
SELLO,JKU13WMC01G0,ES010-00030,1000
SELLO,JKU22TWP01G0,EU020-00030,1000
SELLO,JKU22TWP01L0,EU020-03040,10000
SELLO,JKU23RBL01B0,BL101-00020,500
SELLO,JKU34AWP01G0,EB010-01030,1000
SELLO,JKU34MWP01BR,RS220-04100,1000
SELLO,JKU44VWP01PU,EG020-00090,1000
SELLO,JKU45MWP01B0,RS220-03100,10000
SELLO,JKU45WMC01Y0,ES010-00070,1000
SELLO,JKUMMTWP01ML,EU020-01140,1000
SELLO,JMK2300222B0,35903-0022,1000
SELLO,JMK2300222R0,35903-0023,1000
SELLO,JMK23SCK01BR,35903-0096,1000
SELLO,JMK23SCK11L0,35903-0106,1000
SELLO,JMK33092W2B0,49093-0002,2000
SELLO,JMK34092W2GY,49093-0003,2000
SELLO,JSM11064W1DY,7165-1198,1000
SELLO,JSM1212001B0,7165-1666,1000
SELLO,JSM1215WP1DG,7165-1408,1000
SELLO,JSM12HY151BR,7165-1518,1000
SELLO,JSM13090W6GR,7165-0385,2000
SELLO,JSM13TSWP1DB,7165-0349,2000
SELLO,JSM22064W1RV,7165-1199,5000
SELLO,JSM3312001L0,7165-1685,1000
SELLO,JSM4412001RB,7165-1684,1000
SELLO,JSM44HY151G0,7165-1519,1000
SELLO,JTY1209001L0,7165-0118,2000
SELLO,JTY1209021B0,7165-0076,1000
SELLO,JTY12SSC01BR,7158-3030-50,5000
SELLO,JTY1471651BR,7165-0119,2000
COMPONENTES,JWS00EFFL100,A50-06-370,500
SELLO,JYJ127C831BR,7158-3070-80,1000
SELLO,JYR1206001L0,410121,5000
SELLO,JYR12060W1L0,410001,1000
COMPONENTES,PRET-JT00M,PRET-JT00M(JT),200
COMPONENTES,PRET-JT00N,PRET-JT00N (JT),200
COMPONENTES,PRET-JT10P,PRET-JT10P(JT),200
COMPONENTES,PRET-JT11N,PRET-JT11N(JT),300
COMPONENTES,PRET-LGCGM1,,2
COMPONENTES,PRET-LGCGM2,,3
COMPONENTES,PRET-LGCGM3,,4
COMPONENTES,PRET-LGCGM4,,5
TERMINAL,TAP1102522SN,1717148-1,9000
TERMINAL,TAP1106001SN,2109005-1,7000
TERMINAL,TAP1106002SN,2109006-1,7000
TERMINAL,TAP11064G1SN,1438299-2,11000
TERMINAL,TAP1106422SN,2035170-4,10000
TERMINAL,TAP1107002SN,173630-1,4000
TERMINAL,TAP1112001SN,1418758-1,9000
TERMINAL,TAP1112101SN,5-1418758-1,9000
TERMINAL,TAP1125006SN,917684-1,8000
TERMINAL,TAP1125012AU,1326028-4,7000
TERMINAL,TAP11ABG12SN,928999-1,13000
TERMINAL,TAP11ABS22AU,962875-5,4000
